min_dist,sigma,pred,gt,tp,fp,fn,precision,recall,f1
30,3,381,732,85,296,647,0.2231,0.1161,0.1527
30,2,385,732,84,301,648,0.2182,0.1148,0.1504
25,3,400,732,85,315,647,0.2125,0.1161,0.1502
25,2,404,732,85,319,647,0.2104,0.1161,0.1496
20,3,433,732,87,346,645,0.2009,0.1189,0.1494
30,1,388,732,83,305,649,0.2139,0.1134,0.1482
20,2,447,732,87,360,645,0.1946,0.1189,0.1476
20,1,460,732,87,373,645,0.1891,0.1189,0.146
25,1,411,732,83,328,649,0.2019,0.1134,0.1452
10,3,585,732,93,492,639,0.159,0.127,0.1412
15,3,497,732,86,411,646,0.173,0.1175,0.14
40,1,345,732,75,270,657,0.2174,0.1025,0.1393
40,2,345,732,75,270,657,0.2174,0.1025,0.1393
40,3,345,732,75,270,657,0.2174,0.1025,0.1393
15,2,518,732,87,431,645,0.168,0.1189,0.1392
15,1,539,732,88,451,644,0.1633,0.1202,0.1385
10,2,611,732,84,527,648,0.1375,0.1148,0.1251
10,1,672,732,84,588,648,0.125,0.1148,0.1197
