min_dist,sigma,pred,gt,tp,fp,fn,precision,recall,f1
10,3,368,732,62,306,670,0.1685,0.0847,0.1127
10,2,394,732,61,333,671,0.1548,0.0833,0.1083
15,3,298,732,51,247,681,0.1711,0.0697,0.099
10,1,429,732,57,372,675,0.1329,0.0779,0.0982
15,2,312,732,50,262,682,0.1603,0.0683,0.0958
20,2,258,732,46,212,686,0.1783,0.0628,0.0929
20,3,251,732,45,206,687,0.1793,0.0615,0.0916
25,3,217,732,42,175,690,0.1935,0.0574,0.0885
25,2,224,732,42,182,690,0.1875,0.0574,0.0879
15,1,319,732,46,273,686,0.1442,0.0628,0.0875
30,2,197,732,36,161,696,0.1827,0.0492,0.0775
25,1,228,732,36,192,696,0.1579,0.0492,0.075
30,3,190,732,34,156,698,0.1789,0.0464,0.0738
20,1,266,732,35,231,697,0.1316,0.0478,0.0701
30,1,200,732,31,169,701,0.155,0.0423,0.0665
40,3,142,732,26,116,706,0.1831,0.0355,0.0595
40,2,148,732,24,124,708,0.1622,0.0328,0.0545
40,1,150,732,19,131,713,0.1267,0.026,0.0431
